"Date","Tickers"
"2015-09-25","SU MSFT ROP KMX CTCT AAPL KODK CAT EGLT RAD CPG RHT DV EXXIQ BBRY TENX TSLA ACAS FHCO VDSI K GTIM HIMX SLW OROCF EGO RTN ORPN ZAYO BABA LNKD CCJ LULU DIS MU TWX SNE XPO SPXC MBCQ THRM KO PEP SNCR CC GILD INTC VSEC BAC ETN"
"2015-09-24","SGRP STNG TWTR TWX AXP AAPL MRO DO XCO LINEQ LNCOQ AMGN GPRO FB LCI FCX PYDS KO PEP MDR FITB GG CAT FLO GGB UNP PIRS NNVC M SBUX WYY HWCC MKTO CRLFF LEAT THO TSLA VLKAY XOM NHPEF ARNGF SN QCOM IVPAF MCK GOLD MFC MSFT KPTSF SDIPF FL SHOO BBY KTCC FOXA SLW NRG WYNN"
"2015-09-27","LTS BHP BRID FSYS JVA ORIG GPRO HES CSCO ITMSF VLKAY TM TWTR GOOG GOOGL IBM RAD BMO BBBY PVG STADF BA QCOM SCHW NKE INTC TORXF"
"2015-09-26","BBBY GE BABA KGC ABX TFECF BXE AAPL T DNN GPRO DATA TCK TRXC LVS IAC TMH CLD GM V BAC"
"2015-09-21","NTDOY NTDOF VA RSPP CMG JACK AMZN SIRI TSEM KIRK DEO MSFT GM ATTU SODA SPCB AEM AMD INTC WYNN MDVN COVS BOX JCP SREV CAL AAPL KLDX NVMI WMT NSC GNW MCD GILD INTU CNQ ABX ARIS TNAV LTRE MCO AGFS GBX NUE GOOGL GOOG"
"2015-09-20","BNED FCX HOLX ADBE SWKS KR HSY FIVE INTC AAL BEN F ZUMZ KGILF SAND GIS PLUG"
"2015-09-23","CNAT F FELP HII ENS HAL CALM EA AMZN GPRO LC DIS SCTY VLKAY VLKPY AIG ETSY LPLA WPRT ABT MSFT MA CATM EBAY CBWBF MU KMI AAPL CSWI CSWC GRPN YHOO IBM TGD TREAF GM RIG TCPTF MRK SFL CETV ROST PDFS XIN EVI FCEL"
"2015-09-22","DRGDF AGI CVRR QCOM CPA VLKAY REGN EROS VLKAF WLL MSI LCI RBC SIRI P HUN HK GRPN NWY PERY FLT GM CSX PANW MSFT IAG SBUX WFT PYPL TSLA TOYOF GLUU HSBC ESV JKS UBSFF UBSFY KING S KERX GPRO IVZ VMW MTYFF GOOG GOOGL FIT CHK SHOP AMZN DMIFF KLDX AVIR WDFC SFRRF ZNGA ALOG DOW CANWF IEHC PRSS BLSFF EVHC ABY WCN SC AFAM SDRL AGZNF VALE NUE GGAC TRN"
"2011-08-26","VICL P CXW MDT SLB GCI KBR RJF TOL BEAM CHK VQ OXY EOG TCEHY AAPL QCOM TIF BAC LXK SPPI LIWA KO KKD"
"2008-12-24","USO DBO OIL DBA GLD UDN DOW AAPL AEO C CEG EDFEY SVU KR WMT AET WFC PFE CHK S VZ T ENER STP TAN"
"2011-08-24","AAPL BHP RIO MJN WFC LZB ATVI MET LUV BIDU VOD S V PRMW BAC ABX SCMR IMUC SIRI HIPPQ NM PBH HPQ"
"2011-08-25","TSL PII BAC AZO UBS AAPL BRKA BRKB NEM MSFT FCEL BLDP UTX CHK SIRI TDC WMT LDK MCD CAT CMI AMAT MDT DEO KKR BBRY BCPC IVR VHC SHIP FCX JJC CU CLSN UNP NSC CSX CNA CF C DEM ITW"
"2011-08-22","GTSI RHT EXAR CHK CVV QCOM CBK RCII DXLG MCPIQ MMM LGF QLGC ARLP BTUUQ CSX AAPL PSLV CME ORCL BLK MSFT MCD BA FL DVN PRU INTU DGRLY DNDN DELL HPQ NSC UNP XOM CVX AEZS WDC NTAP BRCD EXEL SLW PWE GLW"
"2011-08-23","AMPE NYCB LEE DIS CHK SIRI INTC AAPL JAGGF GOOG F SBUX RES HPQ VLNCQ DELL BAC SOL DENN RL TRX ANF ECL TMO JCI C GM"
"2011-08-20","WTR GM F"
"2011-08-21","BBY XOM GOOG RGR MDLZ MCD AAPL ALVR GEC C SIRI LVLT WLT"
"2007-10-05","TD CBH TSL LDK PLFE WMT MSTX GILD"
"2011-08-28","VALE AIG MNK SYK CLF ORLY OVRL ABB GAME IBM"
"2011-08-29","KKD AAPL GSK SAFM DLTR MCPIQ BAC TWX SIRI DST F KODK DNDN MSFT INTC CSCO PCP NEM DGSE COST P BBRY MPC DVN CMCSA AXTI T TIF SPA"
"2010-09-24","DCHAF FCX ARMZF NCT SBUX PCLN TZA QID PNY EBIX DPS"
"2008-02-28","CTRP MDR DBA MOS POT SCCO FCX JEC SHAW ENOC CLR SDBT HOG CAGC WTM"
"2008-02-29","RDYN ALKS LLY DRI PCXCQ BTUUQ FXE FXB PCR CYD"
"2008-02-26","PRAN GE BRLC CPHI SSRX SBCF SLW PARD"
"2008-02-27","AYR MDCA NDGPF LNG STEI CPLA GOOG SPKKY DGX RX DRYS GNK OC NWMO GLD IJK SPY SSYS HOG DOW"
"2008-02-24","WLL EOG CLR ANF LB DVN NBR ECA SIRF ESI MRVL RUTH MLI CTO WYNN BRKA SFL DIS HON BGC GBX CHK"
"2008-02-25","KDN XTO APA CHK HQCL DRYS WBA AYSI PRAA MSFT GOOG HSY BBBY SUF WM WWE EWK NICE CMG"
"2008-02-22","DFS CSE WMT USO OIL ANSS CALM ICLR"
"2010-09-26","CSL NFG INTC AER UAUA AAL QEPC CKSW SFUN AICAF BTN AA NAV JBLU HGT DIS S DTEGY CMCSA MSFT JJS BAL LYV HAST NFLX SPOK UNTD IQNT BIDU CHA CHL FITB JASO ASYS"
"2008-02-20","NTRI DD HBI GOOG WMT LF KHDHF MDLZ AMAT SHCAY PHG PFE JNJ SGP AAPL"
"2008-02-21","FCSX MS BAC MNK OILXF ILF ECH EWW CADA GSS UXG GFI ADM CSLMF AAPL JNJ NAVG ZVUE ALXN"
"2013-10-07","PSDV TAX CLNE PSTI OSIR COSWF AAPL YHOO AMD DOLNQ GPN WMT BRKA BRKB BBRY GOOG DVN VRNT MSFT AFL TSYS COST ARNA DE PPSI NWPX AVGO ABX JKS CVLT SSYS JNJ YUM CYTK SCTY OMG F ATEA PG ARKR TMUS IACAF PVCT ROG ZNGA GLUU VIVHY M OTTR BAMM ATMI IBKR STJPF SVBL NOK AA OILT PICO ACCO KOG ROVI USG"
"2013-10-06","RNN AAPL AMZN CIMT TCB BLDR HUBB DAKT BIRNF TISI QNST PHH NUE IP SWN MWIV BAC AMRN DRYS FSLR STRT INTC RIO BMY GOOG MA BNKPF LLY CLBS JNJ AMD ISRG EBAY"
"2013-10-05","MU KO SPGYF BBRG PDEX TPRE VZ MSFT"
"2013-10-04","CSCO KOG TWTR COP WBA VZ QRVO ANN SIRI CVX CMG DRYS BBG FDX MON NUAN SODA SIGM XONE PCTI SDRL S EXC UTX NOK ARNA WINT CECE ACTA MERU BBRY FRX MRVL WWAV WDC KNX APA CACI CNTY PG SSYS CBRL GRPN F SPWR HSH ACAS ABT FES CYTR ZMSPF JSDA NTWK THO EPRS WAGE BTUUQ AVGO KO LULU COST"
"2013-10-03","OREX TSLA VCI FONR MRK JPM AUDC BAS XOM MCPIQ AMAT YHOO FNMA AAPL UBNT CSH MLFNF ADC ACN MSFT RFP CPHR COLB VVUS GEF NNA ENB JOY BAC AOL AMZN SNTS RVP BBRY"
"2013-10-02","TSLA SRPT RNF POWR AAPL MON SPDL LVS UTX MCD XRA BAC COP BP GPN ANRZQ MA APO MSFT JCP LO DTNOF XRTX EA ATVI LXRX ORCL AGRO F TM TVIA EZPW INTC DVMT BOBS NOK MKC BBG QCOM TEAR SBUX AMD LDOS KNDI TSCO TSM XOM DOOR ACET AMRN HMTV GS YHOO LOW STX ARNA UNFI CRNCY TEVA INFY CYNA FB TMO"
"2013-10-01","C WTW WCC MSFT GLT MNKD PPHM PEP YHOO YUM WPCS CCGI DDAIF GM CAT ARCH IBKR RDSA RDSB PLUG F POST AMD PG GTE LGF ABUS DGPIF EXC HSP AVL ALSN JACK CIM ORCL BOXC PVCT CYBE AAPL MHRCQ BCOR ATRS LHO S NFLX AMZN LNKD JPM JCP ESLT ATTU"
"2007-02-07","ABG NVZMF DNSOF SHLD RSH HOG TZOO ADM SIX CRL FDX UPS VAR"
"2010-09-20","BAL JJS GGP WPG CEAI APT COH TXN YUM OFC PTR CL PG CLX AEZS CBLI CHTP ALXA OSK MEE AVNR MU GOOG HPQ SPY XEC WLL PRQNF CYCC SO"
"2013-10-09","SPEX TSLA MSFT LMT PACD TDGCF OUTR TBBK RYCEY ARIA F ICFI INTC YUM CTB T SORL AXP JCP AMAT AAPL MPAA DPS ESRX CMCSA COCP FH BIDU GLW AMRN WFM IEHC PM SPWR DSWL AEO CCCL TVIA ABUS DVMT ENZY INVN OXY TLM SIRI MU BBY AMD GIL"
"2013-10-08","XRX FCX TTWO CRM KMX LOJN ORCL ADXS VHC MNK TOT AEG HEDYY FTPLF HOTR BIND GEVA AUDC DSX BBRY GALE MTGRF ALNY STRP PARXF TNXP BRNGF INTC ARNGF MCIG ORBK SDRL SPEX BCYP URG KNDI VALE CHFN SD COST MYTAY F TM SPAN CEVA ARMH NVDA EZPW JMBA BSFT BRKB CRTX POT MU CVM CPRX FB SPDL ZUMZ ARNA"
"2006-04-04","NEM GNTAQ GYMB LF KMB"
"2006-04-05","DTEGY MMM ISRG TTM"
"2006-04-06","GOOG ELNK NSP LGF SBUX PEIX ADM GPRE"
"2006-04-07","CECO"
"2010-09-22","VXX VXZ KO PEP FCX MFCAF MFCB KHDHF KNDI CTRP HMIN HTHT MDU WDC NUHC AA MCD JNJ BHP LMT NOC RTN NVS"
"2006-04-02","HDL"
"2006-04-03","RDCM GNSS CHKP EPL COSWF SJT"
"2010-09-23","CORN BG FCX JJC GOOG AAPL AVNR OREX MNK SAWLF ENB TCPTF EMR GE PFE CVX DO MU PXR INXX CHXX BBRY KR RAX"
"2008-04-06","FSLR SPWR STP GS JPM LEH CCL RCL WYE PFE NVS BGPIQ AAPL WMT AA BBBY NOOF KMP CTRP NAT"
"2010-09-05","TAN SOL LDK FMO MTPOLD RGP GMAN AMBO NXPI NLC MMM CAT GE CNH DVR BA FIS GRVY INSM JBSAY BRFS COW NE RIG DO"
"2007-02-06","CVTX BNZE JCI AME"
"2008-04-07","PKX ARCH CHK BAC MSFT YHOO MER POT FSLR STLD X CINF BABY NFYIF CPST"
"2008-04-04","AU BVN GLD AUQ GEF ABG KMX AN MOS POT CF CLB NOV CAM AAPL BBRY NOK FMC CEGE PRAN SPPI TEO TS PBR"
"2007-11-25","HOG NTDOY GME CCUOLD BCE HET AAPL CREE ABB GE SWC PAL"
"2016-01-19","RCKY GTE PSX PSXP IBM AIG ALRM MPEL JPM NUE WFC VEEV CST JHX DVAX GAIA RDCM RSYS MAR ELSE PAAS SBUX MTRAF HUSKF NE MDLZ QCOM NVDA WWAV AAPL BDRBF C HLT AMD SCOR JNJ ANGI GILD HRB SAP VOYA CSX QIHU BAC DIS INTC BTG RL AGI CIG DL AUY CELG STI INAP GE ANFI SUEZF SIRI RF CMG"
"2016-01-18","USB CMI BA LC HLTH MACK CR MNOV IBM HIMX DENN INTC MSFT NSC WFC JD QCOM C GPRO TRN EDUC HD AXTA GMLP"
"2010-09-28","CROX IBN GGAL CIB XOM RDSB CVX CJJD GLD GLL TLT OGZPY LUKOY INTC TXN LSIOLD SURW NYT GCI DMLP HGT SJT OPEN NFLX AAPL ADFJF"
"2010-09-29","AEM AUY NG KOL PKOL GLD FCX PG CL DEO ADBE MCD WMT EXC DUK PCL ATPAQ EWS THD TUR CHBT BIDU CTRP"
"2007-11-23","CNOA KODK PAAS"
"2007-11-22","WHR OSUR AAPL SHLD RSTO BRLC"
"2016-01-13","CMI TSLA GM INVN LAZ M SUNEQ SSNLF TACO CHGG DUK AAPL DMIFF EVOL OCFC ROK BRKA BRKB CPG SQBG GPVRF NEFF AEP GILD CVX CNRD CMCSA POT UNP PRGS GBX ARWR BNS AVGO INTC AA AAL VHC EOG GE EHTH EA TX BAC CNK NNA NAP JCTCF SXCP SBRA ACAZF LPG TWI AVAL T ORN GPRO HBAPF LULU DFRG FB CLDX CBK SPIL SNE BABA"
"2016-01-12","FIT JBL BAC UNP SBGI NE GLF FCX MCD SWIR PLNT SIG RDC SAM PGCSF PGCSY PFIN BBY BSET MTCH WMT TRP GNW TSLA GM CCI NBZZF MNKD HL INBK AMD IAC YHOO UNG XOM BHP INTC ANFI C WAC AMBA GERN BIIB LKQ CELG F DKS SIRI RDMKF EVC SVU LSG SWHC UVE BRKB BRKA"
"2016-01-11","PGH AA CLX BAC BP AKS OEXFF CM MEMP GOOG GOOGL SSH NVS NTDOY IMS WMT PSHZF FCX ALSMY MSFT TGNA SLW MSN AMBA VOD BIREF NFLX AMZN HLTH MDLZ TSLA CTCT MOH COVS UNH ATW AWLCF XOM SFYWQ SDOC PSX LVS EPE COP MO CAAS JPM DIS M FSYS JCP F VRX ADM BG AAPL BX SMCAY"
"2016-01-10","IBM T AMZN MSFT PALAN SAVE COF WFC CF HUBS CMG DLR F NKE C LNG CNQ GE SNE BIG MEMP POT SBUX NEM RIG"
"2016-01-17","QCOM AAPL TSM OESX GOGO CALD GLW TXN VUZI VNR BXE TTM USAT XOM KSS SBUX CMG TNUMF"
"2016-01-16","SNE GBX NFLX RHDGF LCI DRGDF MBT VSEC"
"2016-01-15","AJRD SJR SBUX WFC XOM FIT INTC PEUGF PUGOF CMG CAGDF LRN LB ACAS CRZO APC KGC LOGM OMER MFLX XPO F EMKR AIG NMM C BABA WGO INFO CRTN ADM TDOC GILD CMCSA EXPE IBM ZLTQ AGN KUIRF KUIRY SDRL NM KERX SPR CLDX CMC SCI JPM PSX LQDT AMZN DLAKF IX"
"2016-01-14","AEO KMI SMGBY AAPL THRM TSLA SPWR EGLT AMBA WBK GNW SQM WES GM ICD RIGP SRNE PCRX XOM RPMGF BDSI SSH WFM JPM SUNEQ TEX BRKA BRKB BCLI CTRP AUY IBM CPN RDCM HON INVA CSH WCG CLGRF MNKD FEYE NFLX CBGDF DISCA DISCB DISCK WIN PFLT SPY SH SSO CMG F EXPGY EXPGF SAFM FCX MEG GILD WU ACAS BAC GALE GPRO CSAL SWIR HSNI ANF PPSI"
"2009-12-31","GDL MITI IYR SRS VNO GAM ADX UTX FNIO VNQ RWR VICL NAV KG PBI F TM HMC CHIQ PCRFY HEV VLNCQ ALTI DBC GCC GSG IWM ACET ALG NRP PVR ECA"
"2009-12-30","VWO EEM FRN LLL ICXT LCRD GGP CAGC MSTX JSC CEW JNK EBAY SPAR SIGM NWPX JJS BAL DJCI PBR GIB GE CPST BCONQ HTM ORA NGLPF ADRE DEM EDZ MRVL MLNX CRNT UNG OIL DBO"
"2007-02-05","CTSH CB JNPR NTWK MDLZ MO PCEEF WCC IWOV"
"2009-05-01","PZN BBRY LLL RTN AFL CSL PKT HOO VEOEY VAR IGOI JNJ ABT SDS HLF AKAM SVVS RAX V AXP DFS"
"2015-06-02","PTLA EOG INTC ALTR COSWF TEG IGTE BDSI CLD GRUB NEWR PVH NWHM CNXR SYRX Z IMGN AXTA OESX NYRSY AWAY PALAF AKTX FTK MU ARNA INTU TUBE ANET ITUB ASUUY OREX GME SUMR CLUB FH VLKAY PLKI ICPW QUNR XPO MRVL F ANF NBHC TSLA FMC AMBA TSCRF MSFT TLYS ESE MNST ERI OCBB KRA BZC MKTO DVN GM VLKAF FTD DRCSF DRCSY BBVA FLL ZBH STRA WINS SMCI I ALK XOMA FDX VLO TTOO UAL PMNXF AMGN GOOG GOOGL PAAS"
"2015-06-03","OGXI CTRP SCTY GWRE C BFB CTHR RRC TWX COP NNA ZENYF SYAAF BBY PM INTC GME KERX BMY TTWO T FCEL ORIG JACK CVX DSKY XUE TJX VVUS NCR FOLGF IBM MSFT HTZ DX TYPE AXAHY CELTF PIH CSCO PJET SKX AVMXY VOD SINA WIZD EURN ATW CDOR HALO AV SKPLF LEA COG RICK IMGN CERN JBLU IMMU XEC TM AB KSS DE AAV AEM RIG NE MATN TGT ONDK WMT NAP CLD CAKE HD ALTR CVGI COST AAL TESS LMNX"
"2011-10-29","MITK UPI"
"2015-06-01","Z SMMF CMCSA KORS SWIR CBGDF GRMN BNCL HUBS WK VMW AES DG HUSKF RVRLF TCPTF AAPL GE ALJJ ATRM RELY PSWW SPLK SDLP SIRI ULTI ZEN POT MTNB ADDYY ARCH GOOG GOOGL DDD NVDA IBM MFC NAT UBNT ANGI INTC IDTI LEE ABX ORLY FL TPH REGI GSK PANW DIRI ESPR GOLD BOOT SDRL MSFT SFXE MNKD AVGO TSQ JBLU HAL GPRO HTZ TGEN TD RY BIG"
"2015-06-06","THO MU ESSX OPK SPN BIP PNK DVMT"
"2015-06-07","INTC ADBE CVT NEWR FB PANW AMZN AAPL SHLD ACDVF MYL PRGO ARO GKSGF TSL SAP SSI MU TWTR RWLK CALM ESLT HSKA RIG"
"2015-06-04","APRI GIS ICAD IBN TGT FB CBU LPCN GME BYFC NOK DAKT T ARDX BIG DG QCOM MSFT CHTR BH BABA PNRA AEO AAPL GOOG GOOGL EBR GEVO GPRO ROST TWTR LNVGY EROS ITRN CTHR POCEF ATHOF CBRL VZ TMUS OPWR AMCC MOMO SRNA GMLP BAC TSLA MET TCPTF TTGT BFB BFA CLCGY APNHY KORS PVLY SMRT VRX DRRX ICPT OMF EPD DGX PEP EMN GM CMG OPK SMCI"
"2015-06-05","KGC AAPL CSCO MCF OREX USB VVUS GHIFF ARNA PRSS VRA MCD GOOG GOOGL EVTC BGMD MNKD WIX DISH TCPI JKS YDLE FCX HUBS URRE GES BXE RAD MDVN FIVE WUBA GRPN CTIC HXL TMUS FOXA UEPS KORS ORIG GOLD PAA HIG QCOM ENH AUY T FNMA FMCC DHIL PFBC NXRT SYNA ATML MCESF VECO COF DAL JCP EOG BWA DG"
"2011-10-23","BXE MSFT IDCC BWEL MITK KERX KOG BHI IPG OMC WPPGY MOS KATE TSTC DELL ABT"
"2011-10-22","COP"
"2015-06-08","MOBL TRIP GLUU TWTR CBS JKS SALE CAT LONE CTG UVIC XOM ZEN SUNEQ AAPL IVSXF ENGIY ECIFF SDRL OUTR CHK LXFT ALG INTC CJES MTN IBM KHC AMBA ZION SNCR CVX EBIX CWLDF KAR JMU GS XLNX HIL EBAY WU F PGH FSLR CELG DPLO DG EZPW OXY TNUMF EADSY FOX FOXA BAC SKX KR TGT AZO EW GRGNF HUBS CAB CA WSO CMG EGAN W TYL WFC SVCTF BDR FIVE BA EADSF"
"2015-06-09","TSLA FL AAPL CLVS TWTR CALM ARLP NBIX TKAI ETE TTEK MTNOY VSLR AMBZ EBAY FMSA CETX NKE HSY ARGNF GPIC SIRI VVUS EMKR WFM VDTH AIRM CLD ROKA WLL LVS UA ADBE OHGI ITT RLOG AXTA GPS KORS JASO HL HK GILD NEM FOMX BABA NPTN RVREF HURC DRYS ORIG HZNP GATX PQ GM LXRX BNS LINEQ BAM PLSQF JMG FDX RYCEY CNX TILE JAKK CLMT ANFI VFC MCD CKEC KLXI PTAXF GE OCR GES IBP CROX F UPS"
"2011-10-27","AAPL NOG XOM CVX COP GMCR FSLR INTC RICK GLW BWLD BJRI DPZ KOG TPLM XPO ICON LDK STP HQCL CNK NFLX CPN SODA F EBAY JPM OPRX IKGH MSFT SD SIRI AU PEIX GPRE BIOF JNJ GCI QCOM TTNP CMG PNRA GNC GE NSC"
"2011-10-26","BLK PFE GSK SNY BAC C WFC FSLR GE AMPE SAP AKS X MT UWN NFLX BID PNRA ABT LNG TWI DNDN AAPL GOOG WCN SIRI SQM FMC TLTHF AHCHY MET TSL JKS AMZN BKS YGE WYN ATVI HPQ CAT"
"2011-10-25","IR GOOG AMGN HES GLDD ATSG CF CAT NFLX OUTR DISH IBM F GM GPOR PETS AAPL SIRI RVM YUM HRL TMUS SPPI CI ALSK CMI LXK CMG JACK OCZ AEZS ANDS DNDN CSTW IPSU"
"2011-10-24","GE ORCL RNOW CRM MRK AMRC PALTF SYMC TLSNF RGS F INTC AAPL FCX MSFT S GD GMCR GLNYF CMG MCD"
"2007-01-08","HD KFY TIF TLAB HMC IKNX CMCSA ANF ARO"
"2007-01-09","BP CRYFQ FMCN YHOO WMT LKQ SLB FDG"
"2014-04-30","PSX OSK FINL GLW VLO CMI AMZN KLIC BHP PBH ZNGA IBM GULF ABB AAPL WRK RBEIF BAC ROP COP K RIG DDD DVMT AAP MSFT YHOO OHRP TXT BYI SRCRF XRM XOM OPXA CMG GAMR BP JKS AMD CHKE NVIV INTC OROCF CHK SWHC IAC ALLY F DSX SSH SIRI"
"2007-01-03","CRYFQ TASR JNJ SYK BMET NTES SNDA NCTY SAF CFC PHLY GTN ADES SPCO EWD POT"
"2007-01-01","AMD INTC YORW"
"2007-01-06","S"
"2007-01-07","TYC GTW DELL TGT HD BBBY CSCO SYMC MFE"
"2007-01-04","WYN AMD INTC VRTX ARC CVA EWY KF KB GM BCE DECK AVGO MNST"
"2007-01-05","CCEL VIAC LIFC"
"2008-03-07","WMT AAPL XLF BAC C AEM AUY GLD MRVL JOY BUCY BRKA BRKB BBGI DGLY AFL MTB EGY"
"2007-10-02","BZP COSWF FSLR VLGEA OMTR GRMN NOK NVT"
"2013-06-17","MAT CAR GT ARCB ELY AMBS NTRI FHN BNNY WPPGY OSIR AFL ABBV FSGI RENN NOK OCZ WLT CEMP MSFT SNE HALO GTN SVU AAPL CYT CLF INTC AVMXY AXP DJCO RMCF PWRD TREX ARNA MLNX MRK PSDV INVN GOOG HD LBMH TTHI EAC NXST T BBRY CBNJ FRD ATU STEC CVX DANG PSMT JCOM ALJ HPQ CMC FBP CNC ARB DOLE PANW DIOD LMCA SIRI"
"2013-06-16","FLR CNI GTXI C BBRY HIMX GOOG JPM LXFR LWAY SWC GG CRIS INTC CSCO MGT FCN AXP AA NVDA LMAT IVAC ZLC"
"2013-06-15","INTC TMHC AAPL CTXS IMSCQ RWC"
"2013-06-14","ACAT BPY PTN INTC TM INTT GM PFE MRK HTLF NGVC GST AAL PACD AIN DF S MTW LULU HOS LXK PERY RENT JCI NOK MSFT TEU PCYC UAM MFIN DMND OSIR ERA IDT HIBB TSCDY LL UNXL AAPL LSTR PNC GILD NIHD ARTW TROX EV ICE ELLI SIRI WPX ARNA"
"2013-06-13","BBRY CREE EQM ARNA DLMAF CCGI UPLMQ WEN YHOO EXMRF OGXI NVS HIMX DSW ALKS LULU DLTR TSLA EDU NWBO NOV KBIO INTC ALXA FIVE ABUS KELYA CMCSA IAC JMBA LEA NOK CBPO PPL NBN AAPL ZIXI TPLM CVO FH AHS XOMA REFR MGT SWY CSX GCAP EBAY GOOG CYTK SQNXF SIRI"
"2013-06-12","BRKB BRKA TTWO SIRI INGR HE CECO RTIX PPHM WFC COSI FUL S BGS SNWV BBRY NOK TFX DIS SNE BV RH BTH MNK DLR BLK NRZ DOLE TEX ABT GCAP FANG ARNA TYL MSFT WDC CONN FLIR ENSG KKD GM MLR PM VRA TMH MNKD ARRS CLVS ONCS ZIOP WMT USM CLSN DD NVDQ AMZN AEGR CLKXF INTC NVO COH CCE LULU RMTI"
"2015-02-08","NOK CMCSA NOV MDR SCTY EMN FSLR GHC CPSI LGF LVLT VRSN CRR FMC DIS VVUS"
"2013-06-10","TER AKAM WDFC MKTX GOOG MGT NOK IRBT WPRT INTC AAPL NLY VELTF BRS ED UNH OPK ABG SWC PAL EBAY JCP VRSN TGT MDLZ SSYS TWI XOM UA EXXIQ T HKNI CPLA TOL CELG MRK INFI THG OIBR NVAX MSFT NLNK GS DVAX BA CNW CSX CLH BCEI DECK BBRY HRTPY AMD AAP BKE BZC COOL JOBS CONN GLUU AVT AMRN CMG CMI ALKS INFN VMW KO ZNGA GWPH GXP ARNA SYA TTS PKG PG C AEO FCEL SIRI CSG TEAR"
"2015-02-06","NYRSY HPJ NGD TGA SGU NOV BABA MCHP TTOO NVS HQY SLB CREE LVLT CUBI DIS GPRO AAPL IBM CSIQ IAG SWI BBRY PIRGF FIVE KORS FB PRCP RES SMLR CMG SYMC RDSA RDSB INTC POWL GNBC AMTX CL BAC CBI CHK VCEL NOK DOW RIOCF ETN QTWO SAND GPRE CRUS OXY URZ AGM VZ ORLY DRRSF CBGDF ZOES ECC IRBT LB AMBR"
"2015-02-07","EPIQ KORS PLGTF OROCF MFMNF PRMRF GRUB SPNZF YELP AMBA CMCSA FTLF CTYWY KBH WFT IAG NGD CHRW GGAZF MNTA ICON BSHI CTG FB BKUTK BKUT HIITQ AOSDF EGDFF FE CKSW EYES ARRMF SBGGF TABCF"
"2015-02-04","WILN TUBE DPLO BX PLM CMG HILL CVX ARW TSLA KMI BP CNQ SKYAY XOM RLD GIMO ENZR FCSMF FLNDF CUBI LGORF RDCM EFII PFE NKE ARTW UURAF STLD SCTY NUFMF TSN CLB SIRI PSX AAPL SSYS SJM XPL NSU JUNO MOBL OHGI FB SNA DIS BA XNPT GGB ARLP SBUX KIN NUE AMZN HSY GILD GNGBF WFM ECR BERY AAAP NOV GSK TRQ SWK KTWO PNWRF MO BONA SGYP TCPTF ATW DLTR AXE EXP TTWO AET F BUD DEO"
"2015-02-05","CMCSA FNFG GM MGPHF RRENF EVHC S GRUB IAG CANWF CRC HPQ CMC GLUU BTUUQ PIRGF ENS WWE GLGDF TMRC EBAY LNVGY NE ENDP ILG MNKD CVE BABA PBR ARNA ARMH CTCT LEA COP MYL UFS MDM SEAC AGCO DIS GILD NBGGY MHRCQ ESLT CVX SLW TWO DDD GBX EPRS EURN NRG SPB RVRLF KO FSL CLR DWHHF EVKIF BNTGF USAP F IMKTA MCD VDSI BA TGD CLF YUM SPLS ODP CLX SFS URG"
"2015-02-02","AMZN F VRTX BFAM AAPL DFS ADTM GOOG GOOGL CLD TKOI P YHOO RYAM JACK BBRY SSNLF BLCM AMSG NVIV DMND ASUR ATW COH GT MEET CNHI OHGI CAM GILD T EJ LEJU TWTR RL GM NVFY BAX KLIC ETP RGP ALK COP POT MDSMF CGOOF GIB HON UL TD HA EXK JCI CPSS TGCDF PSDNF RNO RVREF VLKAY"
"2015-02-03","UA FCX ISR ATW KO GOOG GOOGL CL AMGN MSFT AR FSUGY ADMS SHERF BAC TGT HP CSIQ DISH KMRPF CBPX OROCF BOH SPLS ODP SCHW ISCA BUD AGVDY EA CRR FSLR CANL GPRO FCAU LGCUF NUSMF CDNA MMYT ISBC MCD GNTX SSYS SIRI CRM TA GPN AMSC LE LOGI EXTR AMG ASTLY NSU TWTR C INGR GLUU DEO SPLP GORO BNKJF ERF PGH LEN ALSN FCB RTN SBUX AL JACK AGI BAMM PLAY ABBV SHVLF TUBE EQT EQUR CMCSA CHK PCTI RKUS FHN AJG TSRA SYNA VZ NCMI RPRX RSYS INVN XOM JJSF INUV F SYY GG CLF BIRNF ATRBF GURE"
"2013-06-19","DRYS MNTX UPLMQ AAPL WCG PBEGF ALTR CPHR PIP SIGA MDRX COH MONIF ELON CROX GHM HRG EBAY GOOG MLHR SNCR LAS AMD ARMH INTC ZNBR GALE FET MDVN DOLE AUDC CSGP CUR WEN QCOM FFG S ARUN ICA SRPT SOL DW TI NOK MSFT AMGN HMC JNJ FCX BWEN XLS MNKD JOSB PVAHQ GEVO RHT F PRXI IDT IBM MIC TGI ITIC SBUX CPB MU"
"2013-06-18","DOLE ORIG SHLD HEIA HEI MCRI YONG MKTO DWA AXL SAVE COH NOK LINEQ AVD ZAGG SAEX SWS TSLA GHC APPY BBRY THD DWCH JCTCF GLW HFC ATRC CYRX ECYT OUTR PGLC STX LQDT GGP CCCL DLGNF CERN TIF VIA SODA NQ AMD CCL GCI MSLP CTL KO MNK LEE IMSCQ MCD FB YELP LNKD KW ASPU FH BIOD VRA AAPL CVU IMOS HUM CRAY FHCO NVDA INTC RCKY TEX EOX PDER SWKS HELE MDT CIE"
