"Date","Tickers"
"2009-10-07","SPOXF EWZ EPU BVN CEW GES TGT XL WYN HCBK ADP WMT KO GSK SNY NVS ARO NVMI EXC DIA CTL NTLS CGR NGD UXG STEC IBM SSNLF GCI AUY AEM TDLP GLD"
"2008-11-17","F GM TM IPHS CALM EGY EHTH RICK UUP UDN BRKA BRKB COP CNXTRETIRED TXN SMSC ZIOP TRQ KSS WMT DLTR CVU INTC CSCO MSFT GLD SLV EGN SR PNY MOO GDX NLR"
"2006-08-28","PX CTBI CCBG DIGE BA VIA CBS COP XOM CVX IFN USG ANAD SWKS QRVO HBI HSH"
"2008-11-16","MSFT IBM CSCO UTX SCHW HRL CL CLX GIS CPB HSY K ARCH BTUUQ XOM CLH KMP NAT DUK GM ETN AMD GS MS AXP ANW CPA HMC DCM WACLY GNOW"
"2015-12-14","TSL REX INTC MU VRX GLGDF AOS RHHBY GWPH CSTE SWKS WCC WNR RIG MLHR BABA WPRT JKS BPL AAPL APRI AZO SKX TWTR WLL SNE CPG BX DWSN TSLA AAU AMD KINS DDD LOV CBSH EA AMGN SOLTF GPRO FIVE FCX SIRI GEC PSO DIS GERN AAL KR AMNL"
"2015-12-15","INVN CLNE PWE SVU GPRO ETP MPC SSNI F JASN BOX KNDI GBX AGX MANU TSLA GOOG GOOGL HOV VNCE P CCJ PHII PHIIK CL ACY GE NGLOY ABBV AKS KGILF QCOM EGY PCAR SGSVF LMT SLH SIRI BX NG THO ACW LNKD BPI LL KR REIS CKEC AXTA PCLN HTHT AUY VRX TFM AA RUSHA RUSHB CALM CC TTM DAL"
"2015-12-16","CMCSA UA ORPN VRX LNG TWTR LNC VSTO SFLY JD GE SCVL FB K IBM SDRL GTE AIG APOL DAVE TEX ABBV AMGN GBX ATVI MU INTC HL MITL HES PDEX TGCDF JEC SCTY TSL CENT CENTA SNE AZO CHDN GIMO CAGDF DNKN FLL RIG CPN PRAH SHAK JBLU DNB"
"2015-12-17","TCLRY BNED MLHR WFC ALB NTI WNR JCI AMZN SEDG ENPH GE PKE FXCM BBRY EPD PII JPM BID AMSC ZINCQ RYCEY DAL SBH AAPL EVLV TSL RIG CELG TCEHY HYGS FMC EA TBRA JASO INVN HTCH MU CSWI RICK TRCO CVX SCTY MMYT X CFRX FRAN GIG HOLX FDX TREE CPST OMEX PBR RTMAF ADP TRV"
"2015-12-10","PPC AN GE FCX BEN CLNE CNL HOFT SGCNF GBIM ITT GILD TGT TU MSFT GPS RDSA T CAT SDRL NM PSX NTI GBT SAVE AVAV AVP ATOS TSLA WPRT VRX BRFS WMT GNCA BX KNDI NCT IQNT SALE JNJ TSM FSLR TREVF DSW TTPCY NESRF CANF V UTX FL WBC KMI SNA JVA IMH CJREF NYT PKX AMZN OR"
"2015-12-11","FSLR CTSH ABIL AFL JBLU SNE MNK GE DSW JOB GPRO NEM CMG NOV AKAM ARMH CIEN GIII DRI SCTY AVGO GILD BP AUY BSQR AIG BBRY BRQPY QCOM HVT AMOT PLUG SUNEQ ALGT TSLA MUX NFLX RYAAY CRLFF FRO ERII D BC PII WMT F GG LMAT DOX HDNG BRO BRKA JNJ GBX PYDS HK SLW KKD MAT HES"
